sep=_
Title,Href,Author,Date,Abstract,Keyword
"Conclusion: If on a winter’s night a ship wrecks","/handle/1826/19504","
Campbell, Peter B.
","(Sidestone Press Academics, 2023-03-14)","-6, Joseph Mallord William Turner, Accepted by the nation  as part of the Turner Bequest 1856. © Joseph Mallord William Turner. Photo: Tate).  Contemporary Philosophy for Maritime Archaeology has sought to address two aims, as  outlined in the introduction.... First, “to help usher the alienated subdiscipline of maritime archaeology into the broader discourse of the humanities” and, second, “to issue a call to action for fellow maritime archaeologists to respond to ecocide more urgently, more cross... ","Maritime"
"Prelude: A History of maritime archaeological thought","/handle/1826/19505","
Campbell, Peter B.
","(Sidestone Press Academics, 2023-03-14)","Before considering contemporary philosophy and maritime archaeology, it is worth reviewing the history of maritime archaeological thought. R. G. Collingwood, notable as the only professor of philosophy who was also a practicing archaeologist... ","Maritime"
"Towards design of prognostics and health management solutions for maritime assets","/handle/1826/11986","
Niculita, Octavian; Nwora, Obinna; Skaf, Zakwan
","(Elsevier, 2017-03-02)","With increase in competition between OEMs of maritime assets and operators alike, the need to maximize the productivity of an equipment and increase operational efficiency and reliability is increasingly stringent and challenging. Also... ","Maritime"
"Chapter 1: Collapse, cataclysm, and eruption: Alien archaeologies for the Anthropocene","/handle/1826/19501","
Rich, Sara A.; Campbell, Peter B.
","(Sidestone Press Academics, 2023-03-14)"," meaningfully to contemporary research about our planet’s past- present-future. We have two primary aims: 1) to help usher the alienated subdiscipline of  maritime archaeology into the broader discourse of the humanities; and 2) to issue a call to action...  for fellow maritime archaeologists to respond to ecocide more urgently, more cross- disciplinarily, and more responsibly with new interventions into old research questions. After  defending the unique relevance of object orientation to the humanities... ","Maritime"
"Comparison of empirical and predicted ultraviolet aircraft signatures","/handle/1826/13945","
James, Itor; Richardson, Mark A.; O'Keefe, Eoin
","(SPIE, 2019-02-09)","% UV reflective object (referred to as white) 5m x 5m area 15m x 15m area 5m x 5m area 15m x 15m area 280-400nm waveband 5km visibility 23km visibility 'Maritime' visibility 5km visibility 23km visibility 'Maritime' visibility 5km visibility 23km... visibility 'Maritime' visibility 5km visibility 23km visibility 'Maritime' visibility 280-500nm waveband 5km visibility 23km visibility 'Maritime' visibility 5km visibility 23km visibility 'Maritime' visibility 5km visibility 23km visibility 'Maritime... ","Maritime"
"Deep learning for automatic target recognition with real and synthetic infrared maritime imagery","/handle/1826/16654","
Westlake, Samuel T.; Volonakis, Timothy N.; Jackman, James; James, David B.; Sherriff, Andy
","(SPIE, 2020-09-20)"," of maritime vessels in the long wave infrared waveband was generated using target-missile engagement simulation software and ten high-fidelity computer-aided design models. Multiple approaches to training a YOLOv3 architecture were explored and subsequently... ","Maritime"
"The HMS Defender incident: innocent passage versus belligerent rights in the Black Sea","/handle/1826/17097","
Turns, David
","(American Society of International Law, 2021-09-07)"," point made by the UK was that Defender was exercising the right of innocent  passage, “as is the right of the United Kingdom (and all nations) under international  maritime law,”3 while the formal Russian statement averred that Defender’s actions had... and there are other rules of international  law that are relevant as lex specialis in the case of Crimea, the focus of argument shifts from  maritime law to international humanitarian law (IHL).    Belligerent Occupation and the Territorial Sea  The circumstances... ","Maritime"
" Maritime vessel classification to monitor fisheries with SAR: demonstration in the North Sea","/handle/1826/13924","
Snapir, Boris; Waine, Toby; Biermann, Lauren
","(MDPI, 2019-02-11)","Integration of methods based on satellite remote sensing into current maritime monitoring strategies could help tackle the problem of global overfishing. Operational software is now available to perform vessel detection on satellite imagery... ","Maritime"
"Process and economic evaluation of an on-board capture system for LNG-fuelled CO2 carriers","/handle/1826/14806","
Awoyomi, Adeola; Patchigolla, Kumar; Anthony, Edward J.
","(American Chemical Society, 2019-11-27)","Marine pollution is a major problem but one that has to date been largely overlooked; thus, for example, it was not accounted for in the Paris agreement on climate change. Maritime fuel combustion currently contributes to 3% of the annual global... ","Maritime"
"Chapter 10: Octopodology and Dark Amphorae: alien archaeologies, reflexivity, and the non-human afterlives of objects in the sea","/handle/1826/19503","
Campbell, Peter B.
","(Sidestone Press Academics, 2023-03-14)"," octopus consciousness because maritime archaeologists impose our thought  upon oceanic environments that are much older than our own. Sea consciousness predates  consciousness on land by millions of years and the fact that consciousness evolved on two... the Bronze Age through  Late Antiquity. While their human use-life ended at ‘deposition’, they persist as structures on  the seafloor which forms the longest part of their object-life. In maritime archaeology  shipwrecks are often viewed from... ","Maritime"
