sep=_
Title,Href,Author,Date,Abstract,Keyword
"  Maritime entitlements and the changing atlas: the effect of coastal changes on maritime limits and maritime boundaries ","/handle/1842/38897","Árnadóttir, Snjólaug","(The University of Edinburgh, 2018-07-04)","The international law of the sea is based on the general principle that land dominates  the sea; entitlement to maritime zones is generated by the coastal front and the seaward  extent of those entitlements is measured from relevant coastal... ","Maritime"
"  Historical development of Roman Maritime Law during the Late Republic and Early Principate ","/handle/1842/36648","Candy, Peter Frank","(The University of Edinburgh, 2019-11-23)"," increase in maritime traffic in the second and first centuries BCE. In the first place, by studying the chronological development of Roman legal institutions relevant to the conduct of longdistance trade, this investigation shows that these developed... ","Maritime"
"  Connecting sea? Modelling economic cohesion in the Roman Adriatic ","/handle/1842/39424","McLean, Andrew","(The University of Edinburgh, 2022-10-11)","This thesis focuses on modelling complex economic concepts in the Roman Adriatic. A quantitative  focus is taken, and an effort is made to consider evidence from across the region, both terrestrial and  maritime, from the offset. Section A considers... ","Maritime"
"  Low carbon transport fuels – an evidence review ","/handle/1842/39726","Ure, Andrew; Martin, Conall; Campbell, Michael; Lokesh, Kadam; McNaught, Colin; Twisse, Fiona","(Ricardo, 2023-01)","The report reviews the evidence and policy supporting the potential role of low carbon fuels in the transport sector of Scotland during the transition to zero emission transport.","Maritime"
"  Demise of equitable principles and the rise of relevant circumstances in maritime boundary delimitation ","/handle/1842/7576","Lee, Ki Beom","(The University of Edinburgh, 2012-11-27)","The tension between the Equidistance-Special Circumstances rule (articulated in the 1958 Geneva Convention on the Continental Shelf) and the Equitable Principles-Relevant Circumstances rule (declared in the 1969 North ...","Maritime"
"  Political union debate in Canada’s maritime provinces, 1960-1980: Why did a union not happen? ","/handle/1842/8140","Flanagan, Luke","(The University of Edinburgh, 2013-07-02)","Utilising a historical perspective and drawing upon path dependence theory, the thesis focuses on the question of a political union of Canada’s three Maritime provinces - Nova Scotia, New Brunswick and Prince Edward ...","Maritime"
"  Arrest of ships in private international law: analysis of English, Scots and International Law on the arrest of ships from a private international law perspective ","/handle/1842/27318","Ruiz Abou-Nigm, Verónica","(The University of Edinburgh, 2007)"," is the  typical provisional  measure used in maritime claims; but it is as typical for maritime claims as it is atypical as a provisional  measure.  Arrest of ships is also a typical jurisdictional basis in  the maritime sphere; but outside maritime claims...This  thesis analyses the theme in English and Scots law in the  light of  the international Conventions in the  field. It examines the three main  functions of arrest of ships, i.e. its protective function, its security   function   and its jurisdictional function, within the three classical domains of PIL,  i.e. applicable law, jurisdiction, and the recognition and enforcement of foreign judgments. It  looks at the  role of the lex fori;  its impact on characterization issues; its subtleties when  applied qua lex causae; and its so often too  far -reaching scope when applied qua lex fori. In practice its influence is unhelpful and  poses a drawback to the uniformity  sought by  the international community. Its downside is apparent in English  law where the frame in which  arrest of ships  currently  develops is the  action in rem, and where the impossibility to separate the two has complicated matters in various ways. In Scots law, due to the fact that arrestment of ships pertains to the broader law of diligence, the distinction between the different  functions of the arrest of ships is clearer. Furthermore, recent law reform has brought the arrestment of ships in Scotland into line with the latest international trends in the sphere of provisional  and  protective measures....Central to this  thesis is the jurisdictional function of arrest of ships. Forum arresti, the paradigmatic forum selection  criterion in English and Scots law, has survived as a specific jurisdictional basis for maritime claims  in  the process of Europeanization of  PIL. This thesis  establishes that forum arresti in the case  of arrest of ships is a cooperative forum. It advances the dynamic objective of  PIL, i.e. the juridical continuity of legal relations across national  borders. In this  context,  the conceptual distinction  between jurisdiction on the merits and  jurisdiction for the sole purpose of interim relief becomes paramount....Ultimately, the whole analysis  shows that the combination of civilian legacy, common law creativity and  international attempts for uniformity has profoundly affected  the nature of arrest of ships; not only in England  and in Scotland, but, through their influence on international Conventions, in the entire shipping world.... ","Maritime"
"  Addressing maritime violence through a changing dynamic of international law-making: supplementation within evolution ","/handle/1842/28754","Wu, Winston Yu-Tsang","(The University of Edinburgh, 2018-07-04)","Violence at sea has long been a problem for the international community, although the nature and preponderance of incidents has evolved over time. This issue was dealt with in a cursory manner in the 1982 United Nations ...","Maritime"
"  Dispute settlement and the establishment of the continental shelf beyond 200 nautical miles ","/handle/1842/7809","Magnússon, Bjarni Mar","(The University of Edinburgh, 2013-07-03)","One of the central purposes of the international law of the sea is to define various maritime zones, their extent and limits. One of these zones is the continental shelf. The continental shelf in modern international law ...","Maritime"
"  Legal relations between states with opposite or adjacent coasts pending ultimate delimitation of the exclusive economic zone/continental shelf with particular reference to North East Asia ","/handle/1842/23075","Kim, Sun Pyo","(The University of Edinburgh, 2001)","","Maritime"
