sep=_
Title,Href,Author,Date,Abstract,Keyword
" Of Ships and Spectacles: Maritime Identity and the Politics of Authenticity in Regency London   ","/xmlui/handle/123456789/57997","Cox Jensen, O","","","Maritime"
" Contemporary Maritime Piracy as a Threat to International Peace and Security   ","/xmlui/handle/123456789/19823","NTOVAS, A","(Hart Pub Limited, 2016-06-16)","Includes papers presented at the 2012 Spring Conference of the International Law Association&#39;s British Branch held at the University of Nottingham.","Maritime"
" Capitalism and the Sea The Maritime Factor in the Making of the Modern World   ","/xmlui/handle/123456789/70458","Campling, L; Colas, A","(Verso, 2021-01-05)","In this bold and radical new book, Campling and Colás analyze these and other sea-related phenomena through a historical and geographical lens.","Maritime"
" East and South China Seas Maritime Dispute Resolution and Escalation: Two Sides of the Same Coin?   ","/xmlui/handle/123456789/68854","Magcamit, MI; Tan, AC","(2016-08-01)","© 2016 SAGE Publications India Private Limited. Our assumptions about the nature and conduct of contemporary international politics deeply impact how we view maritime disputes plaguing the East and South China Seas. In this article, our analysis... ","Maritime"
" Immersive safe oceans technology: Developing virtual onboard training episodes for maritime safety   ","/xmlui/handle/123456789/65691","Markopoulos, E; Luimula, M","(2020-05-01)"," developed for maritime safety and are under testing. Immersive Safe Oceans Technology is a cost-effective, portable technology that can be used on board just in time or in maritime training centers. Four introduced episodes, namely, (1) command bridge, (2... ","Maritime"
" The carceral wet: Hollowing out rights for migrants in maritime geographies   ","/xmlui/handle/123456789/73561","Dickson, AJ","(2021-10-01)","Over recent decades, various governments have turned to the spatiality of the maritime realm in the pre-emptive policing of migration, deploying concentrated efforts of mobility regulation to territorial and extra-territorial seas. With and through... ","Maritime"
" Straits used for International Navigation   ","/xmlui/handle/123456789/19825","NTOVAS, A","(Oxford University Press, USA, 2014)","This volume also considers the ways in which human rights and the law of the sea interact. The forthcoming Volume II will address shipping law; Volume III will provide analysis of marine environmental law and maritime security law.... ","Maritime"
" Carceral Seas   ","/xmlui/handle/123456789/82251","Khalili, L","(2021-06)"," University of London, UK  Article reuse guidelines: sagepub.com/journals-permissions https://doi.org/10.1177/03058298211040188 DOI: 10.1177/03058298211040188 journals.sagepub.com/home/mil  Keywords maritime, migration, carcerality  In his haunting ‘The Sea... Is History’, the great Trinidadian poet Derek Walcott marries the story of the maritime transportation of enslaved Africans to the narrative progression of the Old Testament: Then there were the packed cries, the shit, the moaning:  Exodus. Bone soldered... ","Maritime"
" British Maritime History, National Identity and Film, 1900-1960.   ","/xmlui/handle/123456789/8375","Carolan, Victoria Diane","(Queen Mary University of London, 2012-02)","This thesis examines the creation, transmission and preservation of the idea of Britain as a ‘maritime nation’ on film from 1900 to 1960. By placing an analysis of maritime films’ frequency, content and reception into the broader maritime sphere... ","Maritime"
" What is needed to get rid of paper? A new look at delivery orders   ","/xmlui/handle/123456789/10770","GOLDBY, MA","(2016-01-25)","].  Forthcoming: Journal of International Maritime Law - 2016  1  �M Goldby, Casenote on Glencore v MSC [2015] EWHC 1989 (Comm)  in this facility was unclear,3 but the court found that the terminal was a ‘dedicated area … operated for MSC by [MSC Home] Terminal NV... of International Maritime Law - 2016  2  �M Goldby, Casenote on Glencore v MSC [2015] EWHC 1989 (Comm)  2) delivery of the container by the freight handler to the consignee or the latter’s representative can only be made once the latter has entered the container... ","Maritime"
" How to decarbonise international shipping: Options for fuels, technologies and policies   ","/xmlui/handle/123456789/64783","Balcombe, P; Brierley, J; Lewis, C; Skatvedt, L; Speirs, J; Hawkes, A; Staffell, I","(2019-02-15)"," Design Index Electric Propulsion Emission Trading Scheme Flag of convenience Heavy Fuel Oil International Gas Fuelled Ship Code International Maritime Organisation International Maritime Services Integrated Pollution Prevention and Control International... Transport Workers’ Federation Maritime Agreement Regarding Oil Pollution Market-based mechanism Marine Diesel Oil Maritime Environment Protection Committee Maritime Emission Trading Scheme Marine Gas Oil Roll on – Roll off Ship Selective Catalytic Reduction... ","Maritime"
"  Maritime transport properties and competition law issues: partial function cooperation agreements in liner and tramp shipping   ","/xmlui/handle/123456789/8764","Voudouris, Ioannis","(Queen Mary University of London, 2012-09)","-1           1      MARITIME TRANSPORT PROPERTIES  AND COMPETITION LAW ISSUES:  PARTIAL FUNCTION COOPERATION  AGREEMENTS IN LINER AND TRAMP SHIPPING    Dissertation re-submitted by  IOANNIS VOUDOURIS  Student Number: 999500985        in fulfilment...-69 Lincoln?s Inn Fields   London WC2A3JB, U.K        SEPTEMBER 2012      2         MARITIME TRANSPORT PROPERTIES AND  COMPETITION LAW ISSUES:  PARTIAL FUNCTION COOPERATION AGREEMENTS IN LINER  AND TRAMP SHIPPING    ABSTRACT:    The thesis deals with selected... ","Maritime"
" Global Governance as State Transformation   ","/xmlui/handle/123456789/12134","JONES, L; HAMEIRI, S","(Wiley, 2015-09-28)"," contested process. The politics of global governance thus occur not just at the global level, but at the local level too. We illustrate our argument using examples from maritime security and anti-money laundering governance.... ","Maritime"
