Title,Href,Author,Date,Abstract,Keyword,University Name
" Contemporary Marine and Maritime Policy   ","https://pearl.plymouth.ac.uk/handle/10026.1/5481","Xu, J","(Nova Science Pub Incorporated, 2014-01-01)","","Maritime","University of Plymouth"
" Determining Maritime Cyber Security Dynamics and Development of Maritime Cyber Risk Check List for Ships   ","https://pearl.plymouth.ac.uk/handle/10026.1/19752","Kayisoglu, Gizem; Bolat, Pelin; Tam, Kimberly","(University of Plymouth, 2022-10-20)","The digitalization in maritime industry rises integration of the information and operational technologies on the vessels. The high level of connectivity and the rising of digitalization in maritime sector increase the cyber security issue... ","Maritime","University of Plymouth"
" Cyber-SHIP: Developing Next Generation Maritime Cyber Research Capabilities   ","https://pearl.plymouth.ac.uk/handle/10026.1/14949","Tam, Kimberly; Jones, Kevin","(University of Plymouth, 2019-10)","As a growing global threat, cyber-attacks can cost millions of dollars or endanger national stability and human lives.  While relatively well understood in most sectors, it is becoming clear that, although the maritime sector is becoming more... ","Maritime","University of Plymouth"
" Cyber-SHIP: Developing Next Generation Maritime Cyber Research Capabilities   ","https://pearl.plymouth.ac.uk/handle/10026.1/15823","Tam, K::0000-0003-2840-5715; Forshaw, K; Jones, Kevin","(IMarEST, 2019-11-05)","<jats:p> 						As a growing global threat, cyber-attacks can cost millions of dollars or endanger national stability and human lives. While relatively well understood in most sectors, it is becoming clear that, although the maritime sector... ","Maritime","University of Plymouth"
" The Importance of Information Sharing in the Creation and Enforcement of Maritime Cybersecurity Regulation   ","https://pearl.plymouth.ac.uk/handle/10026.1/16749","Hopcraft, Rory","(2019-04-10)","","Maritime","University of Plymouth"
" The use of cyber ranges in the maritime context: Assessing maritime-cyber risks, raising awareness, and providing training   ","https://pearl.plymouth.ac.uk/handle/10026.1/16705","Tam, Kimberly; Moara-Nkwe, Kemedi; Jones, Kevin","(University of Plymouth, 2020-07-21)"," many sectors employing this strategy (e.g., space, smart buildings, business IT), the maritime sector has yet to take advantage of the available cyber-range technology to assess cyber risks and create appropriate training to meet those risks. Cyber... ","Maritime","University of Plymouth"
" A Cyber-Security Review of Emerging Technology in the Maritime Industry   ","https://pearl.plymouth.ac.uk/handle/10026.1/14947","Tam, Kimberly; Jones, Kevin","(University of Plymouth, 2019-10-17)","The maritime industry is a complex cornerstone of global transportation infrastructure.  To ensure smooth, safe and timely operations, technologies have been created or adapted over time to aid the maritime sector. Agile adaptations are an important... ","Maritime","University of Plymouth"
" Is cyber-security a value added service for maritime transport sector?   ","https://pearl.plymouth.ac.uk/handle/10026.1/19473","Karamperidis, Stavros","(2021-11-10)"," value to services offered from maritime transport sector. To achieve that we need to securely implement technology to maritime transport sector. If that is not achieved, we will increase the level of risk, as the increase of technological solutions... ","Maritime","University of Plymouth"
" Forensic Readiness within the Maritime Sector   ","https://pearl.plymouth.ac.uk/handle/10026.1/14473","Tam, Kimberly; Jones, Kevin","(University of Plymouth, 2019-06-07)","-security and mitigate future incidents. This article examines the forensic readiness of the maritime sector, a core component of global trade and a unique combination of information/operational technology and people, to understand its investigation and mitigation... ","Maritime","University of Plymouth"
" Forensic Readiness within the Maritime Sector   ","https://pearl.plymouth.ac.uk/handle/10026.1/16063","Tam, K::0000-0003-2840-5715; Jones, Kevin","(IEEE, 2019-06)","-security and mitigate future incidents. This article examines the forensic readiness of the maritime sector, a core component of global trade and a unique combination of information/operational technology and people, to understand its investigation and mitigation... ","Maritime","University of Plymouth"
